A,PC,ED0-2,DPR,F,Y35-44,CY	1.0 	0 u
A,PC,ED0-2,DPR,F,Y35-44,CZ	17.4 u	0 u
A,PC,ED0-2,DPR,F,Y35-44,DE	10.1 	25.2 u
A,PC,ED0-2,DPR,F,Y35-44,DK	19.0 u	26.1 u
A,PC,ED0-2,DPR,F,Y35-44,EE	11.6 u	0 u
A,PC,ED0-2,DPR,F,Y35-44,EL	3.9 	2.5 
A,PC,ED0-2,DPR,F,Y35-44,ES	9.1 	6.6 
A,PC,ED0-2,DPR,F,Y35-44,EU27_2020	8.3 	10.1 
A,PC,ED0-2,DPR,F,Y35-44,EU28	8.6 e	: 
A,PC,ED0-2,DPR,F,Y35-44,FI	: u	: u
A,PC,ED0-2,DPR,F,Y35-44,FR	13.6 	13.2 
A,PC,ED0-2,DPR,F,Y35-44,HR	1.8 	10.2 u
A,PC,ED0-2,DPR,F,Y35-44,HU	18.3 	6.4 u
A,PC,ED0-2,DPR,F,Y35-44,IE	8.3 	9.3 
A,PC,ED0-2,DPR,F,Y35-44,IS	19.3 u	14.8 u
A,PC,ED0-2,DPR,F,Y35-44,IT	3.4 	2.7 
A,PC,ED0-2,DPR,F,Y35-44,LT	10.8 u	14.1 u
A,PC,ED0-2,DPR,F,Y35-44,LU	11.7 u	13.2 u
A,PC,ED0-2,DPR,F,Y35-44,LV	12.6 u	13.4 
A,PC,ED0-2,DPR,F,Y35-44,MT	3.4 	9.3 
A,PC,ED0-2,DPR,F,Y35-44,NL	: 	13.8 
A,PC,ED0-2,DPR,F,Y35-44,NO	14.7 	11.8 
A,PC,ED0-2,DPR,F,Y35-44,PL	4.5 	6.2 
A,PC,ED0-2,DPR,F,Y35-44,PT	11.5 	4.6 
A,PC,ED0-2,DPR,F,Y35-44,RO	4.7 	2.5 
A,PC,ED0-2,DPR,F,Y35-44,RS	: 	4.0 
A,PC,ED0-2,DPR,F,Y35-44,SE	23.9 u	22.6 u
A,PC,ED0-2,DPR,F,Y35-44,SI	4.7 u	12.1 u
A,PC,ED0-2,DPR,F,Y35-44,SK	2.4 u	2.3 u
A,PC,ED0-2,DPR,F,Y35-44,TR	7.9 	8.4 
A,PC,ED0-2,DPR,F,Y35-44,UK	11.2 	: 
A,PC,ED0-2,DPR,F,Y45-54,AT	12.6 	11.6 
A,PC,ED0-2,DPR,F,Y45-54,BE	: 	24.9 
A,PC,ED0-2,DPR,F,Y45-54,BG	10.5 	5.9 
A,PC,ED0-2,DPR,F,Y45-54,CY	4.0 	5.9 
A,PC,ED0-2,DPR,F,Y45-54,CZ	12.9 u	11.6 u
A,PC,ED0-2,DPR,F,Y45-54,DE	13.7 	18.6 
A,PC,ED0-2,DPR,F,Y45-54,DK	7.1 u	17.5 u
A,PC,ED0-2,DPR,F,Y45-54,EE	: u	10.4 u
A,PC,ED0-2,DPR,F,Y45-54,EL	5.0 	5.2 
A,PC,ED0-2,DPR,F,Y45-54,ES	13.1 	8.0 
A,PC,ED0-2,DPR,F,Y45-54,EU27_2020	10.6 	11.4 
