"A,PC,DPR,QU1,F,Y15-64,NL",: ,11.5 
"A,PC,DPR,QU1,F,Y15-64,NO",12.5 ,16.3 
"A,PC,DPR,QU1,F,Y15-64,PL",6.1 ,9.3 
"A,PC,DPR,QU1,F,Y15-64,PT",14.1 ,9.9 
"A,PC,DPR,QU1,F,Y15-64,RO",3.6 ,2.6 
"A,PC,DPR,QU1,F,Y15-64,RS",: ,3.1 
"A,PC,DPR,QU1,F,Y15-64,SE",15.6 ,22.8 
"A,PC,DPR,QU1,F,Y15-64,SI",9.8 ,10.3 
"A,PC,DPR,QU1,F,Y15-64,SK",4.9 ,4.8 
"A,PC,DPR,QU1,F,Y15-64,TR",8.6 ,8.3 
"A,PC,DPR,QU1,F,Y15-64,UK",17.2 ,: 
"A,PC,DPR,QU1,F,Y18-24,AT",4.1 ,: 
"A,PC,DPR,QU1,F,Y18-24,BG",2.8 ,: 
"A,PC,DPR,QU1,F,Y18-24,CY",2.8 ,: 
"A,PC,DPR,QU1,F,Y18-24,CZ",0.6 ,: 
"A,PC,DPR,QU1,F,Y18-24,DE",17.5 ,: 
"A,PC,DPR,QU1,F,Y18-24,DK",16.0 ,: 
"A,PC,DPR,QU1,F,Y18-24,EE",1.0 ,: 
"A,PC,DPR,QU1,F,Y18-24,EL",0 ,: 
"A,PC,DPR,QU1,F,Y18-24,ES",5.0 ,: 
"A,PC,DPR,QU1,F,Y18-24,EU27_2020",8.6 ,: 
"A,PC,DPR,QU1,F,Y18-24,EU28",8.5 ,: 
"A,PC,DPR,QU1,F,Y18-24,FI",9.7 ,: 
"A,PC,DPR,QU1,F,Y18-24,FR",8.5 ,: 
"A,PC,DPR,QU1,F,Y18-24,HR",0 u,: 
"A,PC,DPR,QU1,F,Y18-24,HU",5.8 u,: 
"A,PC,DPR,QU1,F,Y18-24,IE",13.3 u,: 
"A,PC,DPR,QU1,F,Y18-24,IS",8.4 ,: 
"A,PC,DPR,QU1,F,Y18-24,IT",1.4 ,: 
"A,PC,DPR,QU1,F,Y18-24,LT",3.0 u,: 
"A,PC,DPR,QU1,F,Y18-24,LU",8.5 u,: 
"A,PC,DPR,QU1,F,Y18-24,LV",17.6 ,: 
"A,PC,DPR,QU1,F,Y18-24,MT",: u,: 
"A,PC,DPR,QU1,F,Y18-24,NO",16.7 ,: 
"A,PC,DPR,QU1,F,Y18-24,PL",0.9 ,: 
"A,PC,DPR,QU1,F,Y18-24,PT",4.9 ,: 
"A,PC,DPR,QU1,F,Y18-24,RO",4.3 ,: 
"A,PC,DPR,QU1,F,Y18-24,SE",12.9 ,: 
"A,PC,DPR,QU1,F,Y18-24,SI",16.6 u,: 
"A,PC,DPR,QU1,F,Y18-24,SK",1.8 ,: 
"A,PC,DPR,QU1,F,Y18-24,TR",5.2 ,: 
"A,PC,DPR,QU1,F,Y18-24,UK",8.4 ,: 
"A,PC,DPR,QU1,F,Y18-44,AT",7.2 ,: 
"A,PC,DPR,QU1,F,Y18-44,BG",5.2 ,: 
"A,PC,DPR,QU1,F,Y18-44,CY",3.5 ,: 
"A,PC,DPR,QU1,F,Y18-44,CZ",5.1 ,: 
"A,PC,DPR,QU1,F,Y18-44,DE",14.6 ,: 
"A,PC,DPR,QU1,F,Y18-44,DK",14.8 ,: 
"A,PC,DPR,QU1,F,Y18-44,EE",5.8 ,: 
"A,PC,DPR,QU1,F,Y18-44,EL",3.4 ,: 
"A,PC,DPR,QU1,F,Y18-44,ES",9.9 ,: 
"A,PC,DPR,QU1,F,Y18-44,EU27_2020",8.4 ,: 
"A,PC,DPR,QU1,F,Y18-44,EU28",9.0 ,: 
"A,PC,DPR,QU1,F,Y18-44,FI",9.8 ,: 
"A,PC,DPR,QU1,F,Y18-44,FR",9.9 ,: 
"A,PC,DPR,QU1,F,Y18-44,HR",3.5 ,: 
"A,PC,DPR,QU1,F,Y18-44,HU",13.8 ,: 
"A,PC,DPR,QU1,F,Y18-44,IE",7.9 ,: 
"A,PC,DPR,QU1,F,Y18-44,IS",14.5 ,: 
"A,PC,DPR,QU1,F,Y18-44,IT",3.1 ,: 
"A,PC,DPR,QU1,F,Y18-44,LT",4.5 ,: 
"A,PC,DPR,QU1,F,Y18-44,LU",13.1 ,: 
"A,PC,DPR,QU1,F,Y18-44,LV",8.9 ,: 
"A,PC,DPR,QU1,F,Y18-44,MT",7.1 ,: 
"A,PC,DPR,QU1,F,Y18-44,NO",12.1 ,: 
"A,PC,DPR,QU1,F,Y18-44,PL",4.2 ,: 
"A,PC,DPR,QU1,F,Y18-44,PT",10.2 ,: 
"A,PC,DPR,QU1,F,Y18-44,RO",2.2 ,: 
"A,PC,DPR,QU1,F,Y18-44,SE",11.2 ,: 
